星期	序号	profile_id	病毒中文主题	病毒英文主题	目标实体层级	主题检索范围	核心身份锚点_可进入OR	成员或亚型身份锚点_可进入OR	疾病锚点	上下文词_只能AND	禁止单独使用词	排除范围_NOT候选	PubMed高精度查询骨架	新闻高精度查询骨架	建议权威网站
周一	1	seasonal_influenza	季节性流感病毒	Seasonal influenza viruses	病毒主题（人季节性甲/乙型流感）	聚焦人群季节性 Influenza A/B 及其流行、抗原演化、疫苗和治疗；不以禽流感、猪流感或 Influenza C/D 为主体。	"seasonal influenza"; "influenza A virus"; "influenza B virus"; "human influenza A virus"; "human influenza B virus"	"A(H1N1)pdm09"; "A(H3N2)"; "B/Victoria lineage"	"seasonal influenza"; "human influenza"; "influenza infection"	antigenic drift; vaccine effectiveness; antiviral resistance; oseltamivir; hemagglutinin; neuraminidase; reassortment; ILI; SARI	influenza; IAV; IBV; HA; NA; M1; M2; NS1; PB1; PB2; PA; ILI; SARI	avian influenza; H5N1; H5N6; H7N9; H9N2; swine influenza; influenza C virus; influenza D virus（仅在严格季节性人流感模式中排除）	(("seasonal influenza"[Title/Abstract] OR "influenza A virus"[Title/Abstract] OR "influenza B virus"[Title/Abstract] OR "A(H1N1)pdm09"[Title/Abstract] OR "A(H3N2)"[Title/Abstract]) AND {{DATE_FILTER}}) NOT (avian influenza[Title/Abstract] OR swine influenza[Title/Abstract])	("seasonal influenza" OR "influenza A virus" OR "influenza B virus" OR "A(H1N1)pdm09" OR "A(H3N2)") AND (outbreak OR surveillance OR vaccine OR cases)	WHO Seasonal influenza=https://www.who.int/news-room/fact-sheets/detail/influenza-%28seasonal%29 | CDC About Influenza=https://www.cdc.gov/flu/about/index.html | ViralZone Orthomyxoviridae=https://viralzone.expasy.org/223
周一	2	sars_cov_2	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	具体病毒及其疾病	聚焦 SARS-CoV-2/COVID-19；不将其他冠状病毒、SARS-CoV-1 或 MERS-CoV 默认纳入。	"SARS-CoV-2"; "severe acute respiratory syndrome coronavirus 2"; "COVID-19"; "coronavirus disease 2019"	"Betacoronavirus pandemicum"（正式物种层级词，仅作补充）	"COVID-19"; "coronavirus disease 2019"	variant; lineage; spike protein; receptor-binding domain; ACE2; TMPRSS2; wastewater surveillance; genomic surveillance; immune escape; neutralizing antibody	S protein; N protein; M protein; E protein; RBD; ACE2; TMPRSS2; ORF1ab; RdRp; variant; lineage; clade; coronavirus	SARS-CoV-1; SARS coronavirus; MERS-CoV; Middle East respiratory syndrome coronavirus; bovine coronavirus; feline coronavirus	(("SARS-CoV-2"[Title/Abstract] OR "severe acute respiratory syndrome coronavirus 2"[Title/Abstract] OR "COVID-19"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("SARS-CoV-1"[Title/Abstract] OR "MERS-CoV"[Title/Abstract])	("SARS-CoV-2" OR "COVID-19") AND (outbreak OR surveillance OR variant OR vaccine OR transmission OR cases)	ICTV Coronaviridae=https://ictv.global/report/chapter/coronaviridae/coronaviridae | ViralZone Betacoronavirus=https://viralzone.expasy.org/764?outline=all_by_species | CDC About COVID-19=https://www.cdc.gov/covid/about/index.html
周一	3	respiratory_syncytial_virus	呼吸道合胞病毒	Respiratory syncytial virus	具体人病毒	聚焦人呼吸道合胞病毒及 RSV-A/RSV-B；不将牛、羊等动物 RSV 纳入。	"respiratory syncytial virus"; "human respiratory syncytial virus"; "RSV infection"	"RSV-A"; "RSV-B"; "HRSV-A"; "HRSV-B"	"respiratory syncytial virus infection"; "RSV bronchiolitis"	bronchiolitis; lower respiratory tract infection; infant hospitalization; older adults; maternal vaccination; nirsevimab; palivizumab; fusion protein	RSV; HRSV; F protein; G protein; N protein; P protein; L protein; M2-1; bronchiolitis; LRTI	bovine respiratory syncytial virus; ovine respiratory syncytial virus; bovine RSV; BRSV	(("respiratory syncytial virus"[Title/Abstract] OR "human respiratory syncytial virus"[Title/Abstract] OR ("RSV"[Title/Abstract] AND (virus[Title/Abstract] OR infection[Title/Abstract]))) AND {{DATE_FILTER}}) NOT ("bovine respiratory syncytial virus"[Title/Abstract])	("respiratory syncytial virus" OR "RSV infection") AND (outbreak OR surveillance OR hospitalization OR vaccine OR nirsevimab)	ICTV Pneumoviridae=https://ictv.global/report/chapter/pneumoviridae/pneumoviridae | ViralZone Pneumoviridae=https://viralzone.expasy.org/7877 | CDC About RSV=https://www.cdc.gov/rsv/about/index.html
周二	4	human_metapneumovirus	人偏肺病毒	Human metapneumovirus	具体人病毒	聚焦 human metapneumovirus；不把 avian metapneumovirus 或泛 Metapneumovirus 结果纳入。	"human metapneumovirus"; "human metapneumovirus infection"	"HMPV-A"; "HMPV-B"; "hMPV A1"; "hMPV A2"; "hMPV B1"; "hMPV B2"	"human metapneumovirus infection"; "HMPV infection"	bronchiolitis; pneumonia; acute respiratory infection; pediatric respiratory infection; older adults; immunocompromised; fusion protein	HMPV; hMPV; A1; A2; B1; B2; F protein; G protein; SH protein; N protein; P protein	avian metapneumovirus; turkey rhinotracheitis virus; avian pneumovirus	(("human metapneumovirus"[Title/Abstract] OR ("HMPV"[Title/Abstract] AND (virus[Title/Abstract] OR infection[Title/Abstract]))) AND {{DATE_FILTER}}) NOT ("avian metapneumovirus"[Title/Abstract])	("human metapneumovirus" OR ("HMPV" AND (virus OR infection))) AND (outbreak OR surveillance OR cases OR hospitalization)	ICTV Pneumoviridae=https://ictv.global/report/chapter/pneumoviridae/pneumoviridae | ViralZone Pneumoviridae=https://viralzone.expasy.org/7877 | CDC Human Metapneumovirus=https://www.cdc.gov/human-metapneumovirus/about/index.html
周二	5	human_adenovirus	人腺病毒	Human adenoviruses	人腺病毒类群	聚焦感染人的腺病毒及具体 HAdV 型别；排除动物腺病毒和仅作为基因治疗载体的文章，除非主题明确要求。	"human adenovirus"; "human adenoviruses"; "human adenoviral infection"	"HAdV-3"; "HAdV-4"; "HAdV-7"; "HAdV-14"; "HAdV-21"; "HAdV-40"; "HAdV-41"; "human adenovirus species A"; "human adenovirus species B"; "human adenovirus species C"; "human adenovirus species D"; "human adenovirus species E"; "human adenovirus species F"; "human adenovirus species G"	"adenovirus infection"; "adenoviral conjunctivitis"; "adenoviral gastroenteritis"	acute respiratory disease; epidemic keratoconjunctivitis; pharyngoconjunctival fever; gastroenteritis; hexon; penton base; fiber protein; recombinant adenovirus	adenovirus; HAdV; hexon; fiber; penton; E1A; E1B; E3; species A; species B; species C	canine adenovirus; bovine adenovirus; porcine adenovirus; fowl adenovirus; adenoviral vector; gene therapy vector（后两项仅在感染监测模式中排除）	(("human adenovirus"[Title/Abstract] OR "human adenoviruses"[Title/Abstract] OR "HAdV-3"[Title/Abstract] OR "HAdV-7"[Title/Abstract] OR "HAdV-41"[Title/Abstract]) AND {{DATE_FILTER}}) NOT (canine adenovirus[Title/Abstract] OR bovine adenovirus[Title/Abstract] OR fowl adenovirus[Title/Abstract])	("human adenovirus" OR "HAdV-3" OR "HAdV-7" OR "HAdV-41") AND (outbreak OR infection OR surveillance OR cases)	ICTV Adenoviridae=https://ictv.global/report/chapter/adenoviridae/adenoviridae | ViralZone Adenoviridae=https://viralzone.expasy.org/4 | CDC About Adenovirus=https://www.cdc.gov/adenovirus/about/index.html
周二	6	human_enterovirus	人肠道病毒	Human enteroviruses	人非脊髓灰质炎肠道病毒类群	默认聚焦 non-polio human enteroviruses，尤其 EV-A71、EV-D68、CV-A6、CV-A16 等；脊髓灰质炎病毒另建 profile。	"human enterovirus"; "human enteroviruses"; "non-polio enterovirus"; "nonpolio enterovirus"	"EV-A71"; "enterovirus A71"; "EV-D68"; "enterovirus D68"; "coxsackievirus A6"; "CV-A6"; "coxsackievirus A16"; "CV-A16"; echovirus	"hand foot and mouth disease"; "acute flaccid myelitis"; "enterovirus infection"; "aseptic meningitis"	HFMD; AFM; encephalitis; VP1; capsid; 3C protease; 3D polymerase; genotype; recombinant; outbreak	enterovirus; NPEV; HFMD; AFM; VP1; VP2; VP3; VP4; IRES; 2Apro; 3Cpro; 3Dpol; echovirus	poliovirus; poliomyelitis; porcine enterovirus; bovine enterovirus; simian enterovirus（非脊灰公共卫生模式）	(("non-polio enterovirus"[Title/Abstract] OR "nonpolio enterovirus"[Title/Abstract] OR "EV-A71"[Title/Abstract] OR "enterovirus A71"[Title/Abstract] OR "EV-D68"[Title/Abstract] OR "enterovirus D68"[Title/Abstract] OR "coxsackievirus A6"[Title/Abstract] OR "coxsackievirus A16"[Title/Abstract]) AND {{DATE_FILTER}}) NOT (poliovirus[Title/Abstract] OR porcine enterovirus[Title/Abstract])	("non-polio enterovirus" OR "EV-A71" OR "EV-D68" OR "coxsackievirus A6" OR "coxsackievirus A16") AND (outbreak OR cases OR surveillance OR "hand foot and mouth disease" OR "acute flaccid myelitis")	ICTV Picornaviridae=https://ictv.global/report/chapter/picornaviridae/picornaviridae | CDC Non-Polio Enterovirus=https://www.cdc.gov/non-polio-enterovirus/about/index.html | NCBI Bookshelf Enterovirus=https://www.ncbi.nlm.nih.gov/books/NBK562330/
周三	7	norovirus	诺如病毒	Norovirus	人诺如病毒主题	聚焦 human norovirus 及人群胃肠炎暴发；排除鼠诺如病毒和其他动物诺如病毒。	"norovirus"; "human norovirus"; "Norwalk virus"; "norovirus infection"	"Norovirus GI"; "Norovirus GII"; "GII.4 norovirus"; "norovirus GII.4"	"norovirus gastroenteritis"; "acute gastroenteritis" AND norovirus	foodborne outbreak; waterborne outbreak; healthcare-associated outbreak; environmental persistence; VP1; VP2; HBGA; genogroup; genotype; genomic surveillance	HuNoV; GI; GII; GII.4; VP1; VP2; VPg; RdRp; HBGA; acute gastroenteritis; vomiting disease	murine norovirus; mouse norovirus; bovine norovirus; canine norovirus; porcine norovirus	(("norovirus"[Title/Abstract] OR "human norovirus"[Title/Abstract] OR "Norwalk virus"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("murine norovirus"[Title/Abstract] OR "bovine norovirus"[Title/Abstract])	("norovirus" OR "Norwalk virus") AND (outbreak OR gastroenteritis OR cases OR foodborne OR school OR hospital)	ICTV Caliciviridae=https://ictv.global/report/chapter/caliciviridae/caliciviridae | ViralZone Norovirus=https://viralzone.expasy.org/194?outline=all_by_species | CDC About Norovirus=https://www.cdc.gov/norovirus/about/index.html
周三	8	measles_virus	麻疹病毒	Measles virus	具体病毒及疾病	聚焦 measles virus/measles；排除犬瘟热等其他 Morbillivirus。	"measles virus"; measles	"measles genotype" AND (B3 OR D8 OR genotype)	"measles"; "subacute sclerosing panencephalitis"	outbreak; elimination; vaccine-preventable; two-dose vaccination; SSPE; CD150; SLAMF1; nectin-4; genotype	MeV; Morbillivirus; H protein; F protein; N protein; P protein; M protein; L protein; V protein; C protein; SSPE	canine distemper virus; peste des petits ruminants virus; rinderpest virus; cetacean morbillivirus	(("measles virus"[Title/Abstract] OR measles[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("canine distemper virus"[Title/Abstract])	(measles OR "measles virus") AND (outbreak OR cases OR vaccination OR elimination OR surveillance)	ICTV Paramyxoviridae=https://ictv.global/report/chapter/paramyxoviridae/paramyxoviridae | ViralZone Morbillivirus=https://viralzone.expasy.org/86?outline=all_by_species | WHO Measles=https://www.who.int/news-room/fact-sheets/detail/measles
周三	9	human_papillomavirus	人乳头瘤病毒	Human papillomaviruses	人乳头瘤病毒类群	聚焦 human papillomavirus、具体型别及相关疾病；不使用泛 Papillomaviridae 单独检索。	"human papillomavirus"; "human papillomaviruses"; "HPV infection"	"HPV16"; "HPV 16"; "HPV18"; "HPV 18"; "HPV31"; "HPV33"; "HPV45"; "HPV6"; "HPV11"; "high-risk HPV"; "oncogenic HPV"	"cervical intraepithelial neoplasia"; "HPV-associated cervical cancer"; "HPV-associated anal cancer"; "HPV-associated oropharyngeal cancer"; "genital warts"	persistent infection; vaccination; cervical screening; L1; L2; E6; E7; genotype; integration; oncogenic	HPV; CIN; L1; L2; E1; E2; E4; E5; E6; E7; cervical cancer; anal cancer; oropharyngeal cancer	bovine papillomavirus; canine papillomavirus; equine papillomavirus; papillomavirus-like particle without human context	(("human papillomavirus"[Title/Abstract] OR "HPV16"[Title/Abstract] OR "HPV18"[Title/Abstract] OR "high-risk HPV"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("bovine papillomavirus"[Title/Abstract])	("human papillomavirus" OR "HPV infection" OR "HPV16" OR "HPV18") AND (vaccine OR screening OR cancer OR prevalence OR prevention)	ICTV Papillomaviridae=https://ictv.global/report/chapter/papillomaviridae/papillomaviridae | ViralZone Papillomaviridae=https://viralzone.expasy.org/5 | CDC About HPV=https://www.cdc.gov/hpv/about/index.html | WHO Cervical Cancer=https://www.who.int/news-room/fact-sheets/detail/cervical-cancer
周四	10	dengue_virus	登革病毒	Dengue virus	具体病毒类群及疾病	聚焦四种登革病毒血清型和登革热；排除其他黄病毒，除非比较研究。	"dengue virus"; dengue; "dengue infection"	"DENV-1"; "DENV-2"; "DENV-3"; "DENV-4"; "dengue virus 1"; "dengue virus 2"; "dengue virus 3"; "dengue virus 4"	"severe dengue"; "dengue hemorrhagic fever"; "dengue shock syndrome"	Aedes aegypti; Aedes albopictus; mosquito-borne; vector surveillance; serotype replacement; antibody-dependent enhancement; NS1; envelope protein	DENV; ADE; E protein; C protein; prM; NS1; NS2A; NS2B; NS3; NS4A; NS4B; NS5; Flavivirus; Orthoflavivirus	Zika virus; yellow fever virus; West Nile virus; Japanese encephalitis virus（仅在非比较性登革主题中排除）	(("dengue virus"[Title/Abstract] OR dengue[Title/Abstract] OR "DENV-1"[Title/Abstract] OR "DENV-2"[Title/Abstract] OR "DENV-3"[Title/Abstract] OR "DENV-4"[Title/Abstract]) AND {{DATE_FILTER}})	("dengue virus" OR dengue OR "DENV-1" OR "DENV-2" OR "DENV-3" OR "DENV-4") AND (outbreak OR cases OR transmission OR surveillance OR vaccine)	ICTV Flaviviridae=https://ictv.global/report/chapter/flaviviridae/flaviviridae | ViralZone Orthoflavivirus=https://viralzone.expasy.org/24?outline=all_by_species | WHO Dengue=https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue | CDC About Dengue=https://www.cdc.gov/dengue/about/index.html
